ZipCode,GeographicAreaName,Total_population,Under5,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,over85,VerifiedTotalPopl,Medianage
15001,ZCTA5 15001,32237,1057,1712,1781,1230,1532,1673,1788,2291,2218,1926,2207,2534,3617,2299,1773,939,917,743,32237,47.5
15003,ZCTA5 15003,11406,493,767,721,552,636,942,742,510,742,830,725,811,896,664,667,293,188,227,11406,41.8
15004,ZCTA5 15004,316,0,0,0,37,21,76,6,0,20,34,49,14,26,33,0,0,0,0,316,40.9
15005,ZCTA5 15005,9480,352,392,356,557,518,420,503,533,522,610,641,746,810,856,730,335,275,324,9480,49.8
15006,ZCTA5 15006,273,19,0,50,30,14,0,20,19,15,16,0,42,0,0,23,25,0,0,273,38.2
15007,ZCTA5 15007,482,34,32,0,0,0,21,18,17,0,0,0,0,59,58,46,64,47,86,482,71.2
15009,ZCTA5 15009,15722,817,805,1222,982,325,781,823,911,1176,881,1090,933,1198,1013,871,741,638,515,15722,45.1
15010,ZCTA5 15010,28523,1846,1714,1285,2165,2044,1532,1923,1776,1350,1416,1569,1705,1979,2076,1364,926,842,1011,28523,39.9
15012,ZCTA5 15012,15301,884,748,673,650,878,848,855,894,752,1044,731,1442,1163,1291,725,659,513,551,15301,47.4
15014,ZCTA5 15014,3130,139,81,179,117,243,139,155,237,204,143,219,446,237,346,106,57,46,36,3130,46.9
15015,ZCTA5 15015,1372,86,84,103,95,42,4,29,136,72,73,91,143,92,95,114,58,29,26,1372,47
15017,ZCTA5 15017,17408,1048,1029,1094,716,665,986,1122,1531,1105,578,1386,1050,1203,1171,988,593,323,820,17408,42.8
15018,ZCTA5 15018,893,57,0,38,50,43,44,45,16,60,0,84,33,238,28,28,122,0,7,893,55.4
15019,ZCTA5 15019,1552,107,76,74,43,88,134,133,35,71,58,121,154,100,73,85,80,28,92,1552,47.4
15020,ZCTA5 15020,567,0,0,0,0,52,60,136,0,0,0,0,182,37,12,48,40,0,0,567,58.2
15021,ZCTA5 15021,6699,225,312,335,407,500,381,259,356,353,348,553,489,692,429,369,323,155,213,6699,48.7
15022,ZCTA5 15022,10248,444,599,490,701,543,535,383,502,815,856,609,769,701,717,537,380,203,464,10248,45.4
15024,ZCTA5 15024,9107,499,314,514,447,379,499,807,439,382,632,782,843,578,793,448,320,179,252,9107,47
15025,ZCTA5 15025,16806,879,942,1184,760,849,961,786,1043,1278,805,770,992,1489,1417,949,435,535,732,16806,43.8
15026,ZCTA5 15026,3910,253,320,235,69,430,128,209,381,188,187,325,254,268,211,145,175,84,48,3910,38
15027,ZCTA5 15027,2219,110,130,80,136,57,159,202,106,84,123,166,132,143,131,101,137,137,85,2219,46.1
15028,ZCTA5 15028,174,3,8,0,9,8,6,10,11,1,15,20,6,10,26,7,9,10,15,174,54.6
15030,ZCTA5 15030,1053,71,98,86,17,52,44,60,79,76,60,122,95,68,43,20,3,44,15,1053,41.1
15031,ZCTA5 15031,428,13,14,13,31,31,124,30,14,0,26,47,11,27,0,26,21,0,0,428,29.7
15033,ZCTA5 15033,4622,152,497,226,181,89,244,571,138,118,473,298,414,427,231,277,132,76,78,4622,47.1
15034,ZCTA5 15034,1614,47,32,14,132,76,124,80,107,82,182,50,95,188,118,100,75,24,88,1614,47.9
15035,ZCTA5 15035,2074,18,124,50,114,78,216,124,86,112,159,157,110,213,184,133,90,28,78,2074,48.1
15037,ZCTA5 15037,10380,504,772,468,361,536,528,757,545,544,713,534,558,1107,704,623,440,258,428,10380,46.6
15038,ZCTA5 15038,248,0,0,20,28,0,0,0,0,40,0,0,42,22,39,0,36,21,0,248,58.7
15042,ZCTA5 15042,7759,316,385,445,315,345,490,461,367,251,327,324,442,610,802,616,462,492,309,7759,52.6
15043,ZCTA5 15043,2209,141,145,78,116,178,175,27,119,42,163,113,279,180,264,108,60,14,7,2209,47.9
15044,ZCTA5 15044,28246,1548,1494,1392,2020,1348,1017,1582,1395,1577,1555,2415,2299,2423,1955,1668,1184,603,771,28246,47.8
15045,ZCTA5 15045,4439,347,249,188,270,234,395,318,361,218,292,319,443,153,174,214,155,60,49,4439,38.5
15046,ZCTA5 15046,2455,95,142,132,161,61,200,108,109,84,107,181,211,206,267,128,75,99,89,2455,50.8
15047,ZCTA5 15047,182,0,0,0,0,21,0,0,30,0,1,0,55,40,0,0,0,17,18,182,55.7
15049,ZCTA5 15049,885,18,30,26,36,15,38,48,35,28,30,85,89,158,70,81,40,34,24,885,57.8
15050,ZCTA5 15050,2476,143,166,142,116,111,141,161,192,104,107,223,291,171,119,140,106,38,5,2476,43.1
15051,ZCTA5 15051,437,37,47,0,13,8,32,8,39,20,0,14,24,77,69,37,0,12,0,437,56.1
15052,ZCTA5 15052,3024,170,94,235,185,158,189,181,187,211,155,170,238,257,187,143,122,98,44,3024,42.5
15053,ZCTA5 15053,70,0,0,0,0,0,14,0,0,0,0,0,21,21,7,7,0,0,0,70,59
15054,ZCTA5 15054,447,67,0,0,15,25,82,53,20,65,0,0,29,0,30,7,0,27,27,447,33.6
15055,ZCTA5 15055,1146,63,9,23,0,27,47,81,76,119,9,68,80,115,125,71,146,63,24,1146,58.5
15056,ZCTA5 15056,1057,49,83,47,75,29,49,67,72,110,56,64,43,83,94,74,23,33,6,1057,43.2
15057,ZCTA5 15057,17440,1144,1579,1183,1123,686,611,641,1731,1289,1243,1014,1369,1185,959,592,518,241,332,17440,40.1
15059,ZCTA5 15059,4248,311,254,308,309,206,160,348,196,273,242,184,398,271,194,217,104,148,125,4248,40.5
15060,ZCTA5 15060,906,34,38,42,81,76,70,31,27,60,36,54,57,62,146,55,10,14,13,906,43.5
15061,ZCTA5 15061,12393,695,795,825,641,512,811,917,948,709,823,724,935,551,764,594,487,398,264,12393,40.3
15062,ZCTA5 15062,6876,381,356,360,420,289,285,376,473,331,329,411,521,742,582,362,180,226,252,6876,46.9
15063,ZCTA5 15063,10543,358,384,478,641,590,552,564,614,607,621,698,755,949,606,698,480,422,526,10543,49.3
15064,ZCTA5 15064,238,0,13,0,11,9,55,30,0,22,14,0,7,14,34,17,12,0,0,238,42
15065,ZCTA5 15065,11099,395,401,539,794,447,631,719,729,601,755,761,599,1310,807,587,514,226,284,11099,47.3
15066,ZCTA5 15066,12362,706,602,535,601,853,790,571,930,566,628,1009,927,1070,878,823,431,196,246,12362,45.1
15067,ZCTA5 15067,2285,103,136,74,49,135,159,193,36,180,102,167,218,113,254,204,72,35,55,2285,49.3
