ZipCode,Geographic Area Name,Household15 to24 ,Household25to44,Household45to64 ,Household_over65,Familes
 15001,ZCTA5 15001,-,86509,75449,59067,88946
 15003,ZCTA5 15003,27768,67604,55714,45250,77470
 15004,ZCTA5 15004,-,-,-,-,83382
 15005,ZCTA5 15005,60743,99792,109063,51485,99657
 15006,ZCTA5 15006,-,-,-,-,130396
 15007,ZCTA5 15007,-,-,-,-,-
 15009,ZCTA5 15009,-,109194,112083,48516,108795
 15010,ZCTA5 15010,62686,82398,86212,45663,89821
 15012,ZCTA5 15012,-,85938,80511,39238,86293
 15014,ZCTA5 15014,31667,74375,45254,53555,59688
 15015,ZCTA5 15015,-,172429,181250,84286,171250
 15017,ZCTA5 15017,51528,111755,98682,52966,117628
 15018,ZCTA5 15018,-,-,-,28669,-
 15019,ZCTA5 15019,-,66154,88636,19912,87955
 15020,ZCTA5 15020,-,-,71354,51250,71363
 15021,ZCTA5 15021,48586,80217,85000,49052,92604
 15022,ZCTA5 15022,54674,68102,60139,46065,74688
 15024,ZCTA5 15024,41625,106563,112230,47250,111584
 15025,ZCTA5 15025,37065,84091,97882,66620,105577
 15026,ZCTA5 15026,95729,153553,98750,58125,116971
 15027,ZCTA5 15027,-,71094,96288,31736,81625
 15028,ZCTA5 15028,-,81250,151607,21250,78750
 15030,ZCTA5 15030,46875,65357,54375,28750,77083
 15031,ZCTA5 15031,-,-,-,-,62727
 15033,ZCTA5 15033,-,29009,49129,32059,63267
 15034,ZCTA5 15034,26691,61250,55192,33359,69875
 15035,ZCTA5 15035,-,55714,74250,37426,94605
 15037,ZCTA5 15037,53125,82385,86750,49691,87264
 15038,ZCTA5 15038,-,-,-,34071,60714
 15042,ZCTA5 15042,78352,69531,99063,56838,78831
 15043,ZCTA5 15043,-,141607,106726,57083,82024
 15044,ZCTA5 15044,-,157647,164237,73367,149099
 15045,ZCTA5 15045,-,60538,63600,33603,57477
 15046,ZCTA5 15046,-,75417,138214,47554,95313
 15047,ZCTA5 15047,-,-,-,-,-
 15049,ZCTA5 15049,-,57750,58229,42167,61875
 15050,ZCTA5 15050,-,80000,104750,52500,92159
 15051,ZCTA5 15051,-,120795,72632,48229,59904
 15052,ZCTA5 15052,66250,74766,69531,46875,78450
 15053,ZCTA5 15053,-,-,-,-,-
 15054,ZCTA5 15054,-,85885,-,15946,-
 15055,ZCTA5 15055,-,67337,-,60500,78631
 15056,ZCTA5 15056,-,85903,63889,42679,92619
 15057,ZCTA5 15057,-,149949,130344,61653,139528
 15059,ZCTA5 15059,-,90851,76607,47784,62315
 15060,ZCTA5 15060,-,58625,85000,49934,57917
 15061,ZCTA5 15061,23722,85586,85921,42557,91471
 15062,ZCTA5 15062,23485,54839,66310,37791,81940
 15063,ZCTA5 15063,30804,80542,66667,42219,86702
 15064,ZCTA5 15064,-,76458,-,-,-
 15065,ZCTA5 15065,-,70536,74583,41000,90828
 15066,ZCTA5 15066,37675,63189,69671,46481,73032
 15067,ZCTA5 15067,-,49432,59760,46667,68977
 15068,ZCTA5 15068,23763,74245,74841,45704,86350
 15071,ZCTA5 15071,-,120064,114286,51178,125000
 15072,ZCTA5 15072,-,-,-,-,-
 15074,ZCTA5 15074,-,53844,55208,39856,65714
 15075,ZCTA5 15075,-,-,-,-,-
 15076,ZCTA5 15076,-,72697,-,-,73553
 15077,ZCTA5 15077,-,92679,109750,-,93750
 15078,ZCTA5 15078,-,-,-,-,74883
 15081,ZCTA5 15081,-,68125,77333,38667,84773
 15082,ZCTA5 15082,-,-,-,-,-
 15083,ZCTA5 15083,-,73036,87768,61250,93958
 15084,ZCTA5 15084,-,56500,60708,44375,74568
 15085,ZCTA5 15085,-,98068,81938,60264,89241
 15086,ZCTA5 15086,-,-,-,115500,126923
 15087,ZCTA5 15087,-,-,-,-,66500
 15088,ZCTA5 15088,-,34688,76250,50000,77500
 15089,ZCTA5 15089,-,91528,66358,31411,68048
 15090,ZCTA5 15090,88750,163405,159816,76742,165564
 15101,ZCTA5 15101,40737,117889,137212,73498,137029
 15102,ZCTA5 15102,58854,136138,128723,58656,133571
 15104,ZCTA5 15104,-,32234,38350,34018,45349
 15106,ZCTA5 15106,26792,89682,81625,45585,98013
 15108,ZCTA5 15108,51288,104818,124250,65376,118953
 15110,ZCTA5 15110,-,39780,43208,40036,48333
 15112,ZCTA5 15112,-,38375,56642,37386,50083
 15116,ZCTA5 15116,-,114891,117955,66637,109323
 15120,ZCTA5 15120,29789,64368,61224,34396,70523
 15122,ZCTA5 15122,-,86094,84448,42961,86197
 15123,ZCTA5 15123,-,-,-,-,-
 15126,ZCTA5 15126,60924,94816,81607,69750,107449
 15129,ZCTA5 15129,-,96188,120372,56267,115192
 15131,ZCTA5 15131,33763,89912,91735,41192,90313
 15132,ZCTA5 15132,6881,35720,34671,32746,46217
 15133,ZCTA5 15133,40682,74097,72644,43684,79743
 15135,ZCTA5 15135,-,110875,104375,39176,103889
 15136,ZCTA5 15136,-,59069,72500,50167,80222
 15137,ZCTA5 15137,6224,52111,55315,38039,60293
 15139,ZCTA5 15139,65156,109952,112826,43639,153594
 15140,ZCTA5 15140,-,47946,41250,20893,48693
 15142,ZCTA5 15142,-,79557,241944,"250,000+","250,000+"
 15143,ZCTA5 15143,30909,164815,149583,69141,147639
 15144,ZCTA5 15144,-,77813,84009,48977,82740
 15145,ZCTA5 15145,44696,34583,65526,48558,52783
 15146,ZCTA5 15146,51031,85698,102609,56536,98854
 15147,ZCTA5 15147,46705,63669,78801,45104,80373
 15148,ZCTA5 15148,-,28500,56250,29844,62679
 15201,ZCTA5 15201,79949,97309,77522,37788,98059
 15202,ZCTA5 15202,52888,76981,68519,36279,96566
 15203,ZCTA5 15203,35000,93967,55708,54958,103711
 15204,ZCTA5 15204,-,51824,68600,46970,65048
 15205,ZCTA5 15205,48438,80363,95708,54232,93984
 15206,ZCTA5 15206,31797,82130,59766,40850,100575
 15207,ZCTA5 15207,68156,70030,56603,30429,74208
 15208,ZCTA5 15208,29872,82727,57115,37450,65294
 15209,ZCTA5 15209,87206,94068,77301,42267,93162
 15210,ZCTA5 15210,45596,47420,50848,42500,55479
 15211,ZCTA5 15211,52270,90333,76591,38278,98825
 15212,ZCTA5 15212,39000,73520,61844,38650,80451
 15213,ZCTA5 15213,11993,37078,47740,53580,77587
 15214,ZCTA5 15214,36875,62182,78330,33486,69308
 15215,ZCTA5 15215,51957,98750,114375,57262,125422
 15216,ZCTA5 15216,39830,91799,86972,50833,102726
 15217,ZCTA5 15217,25192,89577,144457,65091,159324
 15218,ZCTA5 15218,29531,66291,83533,50547,108703
 15219,ZCTA5 15219,14462,37331,34880,25407,45795
 15220,ZCTA5 15220,-,96776,82797,45895,99221
 15221,ZCTA5 15221,31853,63491,56415,42477,78163
 15222,ZCTA5 15222,98542,117500,-,98750,233269
 15223,ZCTA5 15223,-,79531,67292,37684,82647
 15224,ZCTA5 15224,36570,78307,60139,31364,93261
 15225,ZCTA5 15225,36875,74659,58333,43672,74653
 15226,ZCTA5 15226,79018,93559,84659,44593,101496
 15227,ZCTA5 15227,-,85095,87349,44844,94577
 15228,ZCTA5 15228,-,135682,141038,89375,155000
 15229,ZCTA5 15229,67612,89723,103214,46546,106233
 15232,ZCTA5 15232,24125,68342,107326,98750,110795
 15233,ZCTA5 15233,85714,89318,57656,47969,116422
 15234,ZCTA5 15234,73565,106935,88364,46143,99521
 15235,ZCTA5 15235,26205,62667,69485,53267,75257
 15236,ZCTA5 15236,-,101250,97175,57582,104685
 15237,ZCTA5 15237,38790,133956,149059,64071,141613
 15238,ZCTA5 15238,69531,143194,153750,89879,171979
 15239,ZCTA5 15239,99120,115869,112135,60788,109647
 15241,ZCTA5 15241,90000,150223,188264,79938,181042
 15243,ZCTA5 15243,-,141842,130132,62791,132377
 15260,ZCTA5 15260,-,-,-,-,-
 15275,ZCTA5 15275,-,-,-,-,-
 15282,ZCTA5 15282,-,-,-,-,-
 15290,ZCTA5 15290,-,-,-,-,-
 15301,ZCTA5 15301,46098,89669,75635,45514,94878
 15310,ZCTA5 15310,-,-,103333,52083,103194
 15311,ZCTA5 15311,-,118194,140511,39375,89063
 15312,ZCTA5 15312,38942,73750,92875,55729,80739
 15313,ZCTA5 15313,-,99375,91429,55536,88125
 15314,ZCTA5 15314,-,79737,74750,40242,77708
 15315,ZCTA5 15315,-,46726,-,56875,46887
 15316,ZCTA5 15316,-,62321,28828,35625,46667
 15317,ZCTA5 15317,45329,120145,118343,64224,128108
 15320,ZCTA5 15320,-,-,89828,34104,89141
 15321,ZCTA5 15321,-,151806,116016,46250,135432
 15322,ZCTA5 15322,-,101719,71528,51250,83977
 15323,ZCTA5 15323,38654,103654,72019,56029,86583
 15324,ZCTA5 15324,-,62500,56250,32179,48365
 15325,ZCTA5 15325,-,-,-,44145,-
 15327,ZCTA5 15327,-,72321,84271,67000,72500
 15329,ZCTA5 15329,-,100000,87734,53938,97727
 15330,ZCTA5 15330,-,149722,125996,72554,126973
 15331,ZCTA5 15331,-,53125,55694,-,47065
 15332,ZCTA5 15332,-,87045,96047,55016,90875
 15333,ZCTA5 15333,-,92019,75000,37917,92237
 15334,ZCTA5 15334,-,89408,106750,42500,89474
 15337,ZCTA5 15337,-,72917,87000,55192,82083
 15338,ZCTA5 15338,-,63750,86250,59583,71094
 15340,ZCTA5 15340,-,-,69850,-,118958
 15341,ZCTA5 15341,-,103750,73571,54688,76944
 15342,ZCTA5 15342,23182,108365,117878,58750,104526
 15344,ZCTA5 15344,-,120481,69643,37069,104375
 15345,ZCTA5 15345,49663,64886,64375,46094,65893
 15346,ZCTA5 15346,-,139583,26552,34018,71250
 15347,ZCTA5 15347,-,-,-,-,-
 15348,ZCTA5 15348,-,-,-,-,-
 15349,ZCTA5 15349,-,86429,88500,35583,86518
 15350,ZCTA5 15350,-,-,74167,32022,-
 15351,ZCTA5 15351,-,67156,3849,19391,-
 15352,ZCTA5 15352,61094,68750,51563,30625,66563
 15353,ZCTA5 15353,-,-,-,135875,136000
 15357,ZCTA5 15357,-,84159,108846,53897,83779
 15358,ZCTA5 15358,-,78125,98523,-,97994
 15359,ZCTA5 15359,-,78750,-,-,78009
 15360,ZCTA5 15360,-,72500,95875,64250,105809
 15361,ZCTA5 15361,-,-,141364,-,-
 15362,ZCTA5 15362,-,98542,-,35000,91250
 15363,ZCTA5 15363,-,92656,50898,31071,54133
 15364,ZCTA5 15364,-,51429,70625,56250,72500
 15365,ZCTA5 15365,-,99750,61250,45000,72813
 15366,ZCTA5 15366,-,-,-,39133,-
 15367,ZCTA5 15367,-,174231,197917,70795,187843
 15368,ZCTA5 15368,-,62837,-,25500,54250
 15370,ZCTA5 15370,35714,89615,69189,54282,93547
 15376,ZCTA5 15376,-,125417,104375,68571,102667
 15377,ZCTA5 15377,-,65625,113750,31250,101250
 15378,ZCTA5 15378,-,-,-,-,-
 15379,ZCTA5 15379,-,-,108750,44000,-
 15380,ZCTA5 15380,-,110357,82500,30000,107083
 15401,ZCTA5 15401,34661,68842,62447,40867,77157
 15410,ZCTA5 15410,-,119350,122759,37639,123448
 15411,ZCTA5 15411,-,98750,64338,38036,71667
 15412,ZCTA5 15412,-,-,75735,26667,76250
 15413,ZCTA5 15413,-,-,-,-,89347
 15416,ZCTA5 15416,-,95875,-,-,119196
 15417,ZCTA5 15417,-,72656,69464,38243,79043
 15419,ZCTA5 15419,25179,-,46544,42064,70313
 15420,ZCTA5 15420,-,-,-,-,26786
 15421,ZCTA5 15421,-,-,-,-,-
 15422,ZCTA5 15422,-,-,130819,-,90625
 15423,ZCTA5 15423,-,79750,76964,56125,76375
 15424,ZCTA5 15424,25417,61563,57411,35938,61193
 15425,ZCTA5 15425,52656,73036,63889,34899,73324
 15427,ZCTA5 15427,-,66250,70192,44821,79688
 15428,ZCTA5 15428,-,98068,77031,39837,87250
 15429,ZCTA5 15429,-,-,72574,34737,50250
 15430,ZCTA5 15430,-,103478,43750,68750,68125
 15431,ZCTA5 15431,94271,76667,64537,41467,62083
 15432,ZCTA5 15432,-,78750,106250,41875,79167
 15433,ZCTA5 15433,-,-,-,38393,46111
 15434,ZCTA5 15434,-,78063,88750,19464,77589
 15435,ZCTA5 15435,-,-,-,57917,-
 15436,ZCTA5 15436,33750,49219,66250,40341,66250
 15437,ZCTA5 15437,75954,115139,75104,35368,72386
 15438,ZCTA5 15438,-,107969,63750,53750,89932
 15440,ZCTA5 15440,-,-,-,33839,93542
 15442,ZCTA5 15442,-,103417,50087,39961,80250
 15443,ZCTA5 15443,-,-,-,-,-
 15444,ZCTA5 15444,-,-,-,-,-
 15445,ZCTA5 15445,-,86528,88542,43085,96250
 15446,ZCTA5 15446,-,-,-,-,-
 15447,ZCTA5 15447,-,-,-,-,-
 15448,ZCTA5 15448,-,-,55938,-,71146
 15449,ZCTA5 15449,-,-,-,47601,-
 15450,ZCTA5 15450,-,-,-,-,-
 15451,ZCTA5 15451,-,61576,34300,23333,38750
 15454,ZCTA5 15454,-,-,-,-,-
 15455,ZCTA5 15455,-,-,136618,14069,87083
 15456,ZCTA5 15456,-,-,47083,39050,61563
 15458,ZCTA5 15458,-,-,74415,53350,73887
 15459,ZCTA5 15459,-,77778,89861,30417,87813
 15460,ZCTA5 15460,-,95703,55000,23750,-
 15461,ZCTA5 15461,89750,76750,60139,34784,77533
 15462,ZCTA5 15462,-,-,-,-,-
 15463,ZCTA5 15463,-,-,-,-,-
 15464,ZCTA5 15464,-,-,63889,42222,64028
 15465,ZCTA5 15465,-,-,70313,26250,-
 15466,ZCTA5 15466,-,71250,62917,52727,62917
 15467,ZCTA5 15467,-,69583,37813,69583,77639
 15468,ZCTA5 15468,-,62715,74609,33350,72964
 15469,ZCTA5 15469,-,41168,43438,40636,44866
 15470,ZCTA5 15470,-,141161,105000,38000,110500
 15472,ZCTA5 15472,-,-,-,-,51713
 15473,ZCTA5 15473,113125,104250,73056,55586,85495
 15474,ZCTA5 15474,-,68000,59750,37933,73958
 15475,ZCTA5 15475,-,54474,-,40536,42232
 15476,ZCTA5 15476,-,-,-,-,-
 15477,ZCTA5 15477,-,65417,57404,69583,75156
 15478,ZCTA5 15478,31635,101369,72479,61250,84792
 15479,ZCTA5 15479,-,79000,112708,50927,80867
 15480,ZCTA5 15480,-,49784,57583,24570,63281
 15482,ZCTA5 15482,-,-,86471,31622,51705
 15483,ZCTA5 15483,-,-,-,45750,84375
 15484,ZCTA5 15484,-,91607,-,-,91481
 15486,ZCTA5 15486,-,64722,82500,37632,89375
 15488,ZCTA5 15488,-,-,-,-,-
 15489,ZCTA5 15489,-,-,-,29844,-
 15490,ZCTA5 15490,-,79514,-,38466,59722
 15492,ZCTA5 15492,-,-,-,-,-
 15501,ZCTA5 15501,45486,83313,60590,39924,77475
 15502,ZCTA5 15502,-,-,-,-,83472
 15510,ZCTA5 15510,-,-,-,-,-
 15520,ZCTA5 15520,-,-,51886,-,-
 15521,ZCTA5 15521,-,85000,65000,37692,67188
 15522,ZCTA5 15522,39258,90000,80828,34352,83250
 15530,ZCTA5 15530,51406,90625,68594,47672,70563
 15531,ZCTA5 15531,41650,73333,50781,45250,68700
 15532,ZCTA5 15532,-,29444,91944,-,-
 15533,ZCTA5 15533,28000,51176,53958,39250,52500
 15534,ZCTA5 15534,-,66667,66250,31667,54107
 15535,ZCTA5 15535,-,79583,68512,41354,77273
 15536,ZCTA5 15536,-,34167,44792,66667,52917
 15537,ZCTA5 15537,41875,57575,89939,37917,72321
 15538,ZCTA5 15538,-,93125,78750,50625,74205
 15539,ZCTA5 15539,-,-,16929,-,50833
 15540,ZCTA5 15540,-,75568,80938,65690,65991
 15541,ZCTA5 15541,31250,73917,76250,32238,75117
 15542,ZCTA5 15542,61250,66500,65938,32250,51071
 15544,ZCTA5 15544,-,-,80652,-,74188
 15545,ZCTA5 15545,66250,70625,71250,32885,68125
 15546,ZCTA5 15546,-,-,98636,-,84844
 15547,ZCTA5 15547,-,-,"250,000+",58611,59028
 15550,ZCTA5 15550,-,92679,61250,24732,80481
 15551,ZCTA5 15551,-,89167,-,52000,69474
